,0,1,2,3
0,33,kahal29,2020-06-04 21:44:00,?
1,33,Raxxye,2020-06-04 21:49:00,m
2,33,nwakgr8,2020-06-04 21:53:00,?
3,33,kettykings,2020-06-04 21:53:00,?
4,33,jlinkd78,2020-06-04 21:55:00,m
5,33,festacman,2020-06-04 21:55:00,m
6,33,gwafaeziokwu,2020-06-04 21:57:00,?
7,33,Amotolongbo,2020-06-04 22:02:00,f
8,33,Racoon,2020-06-04 22:09:00,m
9,33,BeeBeeOoh,2020-06-04 22:10:00,m
10,33,111sunshine,2020-06-04 22:13:00,?
11,33,nairalandankrah,2020-06-04 22:15:00,?
12,33,seunmsg,2020-06-04 22:17:00,m
13,33,Flyingngel,2020-06-04 22:18:00,m
14,33,Nwanyiogwashi,2020-06-04 22:23:00,f
15,33,Sammy07,2020-06-04 22:27:00,?
16,33,Nwanyiogwashi,2020-06-04 22:32:00,f
17,33,hargbolahan01,2020-06-04 22:33:00,?
18,33,pineed,2020-06-04 22:36:00,m
19,33,FlordFlorez,2020-06-04 22:38:00,m
20,33,FortuneDeGreat,2020-06-04 22:40:00,m
21,33,BlackfireX,2020-06-04 22:41:00,?
22,33,FortuneDeGreat,2020-06-04 22:43:00,m
23,33,seunmsg,2020-06-04 22:43:00,m
24,33,seunmsg,2020-06-04 22:44:00,m
25,33,Sammy07,2020-06-04 22:45:00,?
26,33,Nwanyiogwashi,2020-06-04 22:50:00,f
27,33,idealogical,2020-06-04 22:51:00,?
28,33,JAMO84,2020-06-04 22:52:00,?
29,33,olaboy33,2020-06-04 22:52:00,m
30,33,Lewisalexander,2020-06-04 22:53:00,m
31,33,MrImole,2020-06-04 22:53:00,?
32,33,Soundcoded,2020-06-04 22:54:00,m
33,33,brightdestiny96,2020-06-04 22:55:00,?
34,33,bejeria101,2020-06-04 22:55:00,m
35,33,FortuneDeGreat,2020-06-04 22:56:00,m
36,33,Kelvin5214,2020-06-04 22:56:00,?
37,33,Femeto,2020-06-04 22:58:00,?
38,33,wiseoneking,2020-06-04 22:58:00,?
39,33,tanteta,2020-06-04 22:59:00,m
40,33,hammerU,2020-06-04 22:59:00,?
41,33,Sammy07,2020-06-04 22:59:00,?
42,33,Jackmj,2020-06-04 23:00:00,m
43,33,Noel19,2020-06-04 23:00:00,?
44,33,seunmsg,2020-06-04 23:00:00,m
45,33,Jibsy203,2020-06-04 23:01:00,?
46,33,baike,2020-06-04 23:01:00,?
47,33,justlegacy,2020-06-04 23:02:00,?
48,33,israelmao,2020-06-04 23:03:00,m
49,33,a4cube,2020-06-04 23:04:00,?
50,33,FortuneDeGreat,2020-06-04 23:04:00,m
51,33,seunmsg,2020-06-04 23:04:00,m
52,33,Lilimax,2020-06-04 23:05:00,f
53,33,Bobotic,2020-06-04 23:05:00,m
54,33,wiseoneking,2020-06-04 23:05:00,?
55,33,seunmsg,2020-06-04 23:06:00,m
56,33,maestroferddi,2020-06-04 23:07:00,?
57,33,Lastmankc,2020-06-04 23:07:00,m
58,33,Ghostmode2two,2020-06-04 23:08:00,m
59,33,athaboi,2020-06-04 23:09:00,m
60,33,senatordave1,2020-06-04 23:10:00,m
61,33,athaboi,2020-06-04 23:10:00,m
62,33,Skillsnigeria,2020-06-04 23:11:00,?
63,33,idealogical,2020-06-04 23:11:00,?
64,33,Job2004,2020-06-04 23:12:00,?
65,33,MajorOvakporaye,2020-06-04 23:12:00,f
66,33,FarahAideed,2020-06-04 23:12:00,?
67,33,gwafaeziokwu,2020-06-04 23:13:00,?
68,33,Sammy07,2020-06-04 23:13:00,?
69,33,Alwaysachick,2020-06-04 23:13:00,?
70,33,Noel19,2020-06-04 23:13:00,?
71,33,athaboi,2020-06-04 23:14:00,m
72,33,FortuneDeGreat,2020-06-04 23:15:00,m
73,33,hardbody,2020-06-04 23:15:00,?
74,33,Amotolongbo,2020-06-04 23:15:00,f
75,33,idealogical,2020-06-04 23:16:00,?
76,33,clancymiim,2020-06-04 23:18:00,f
77,33,FortuneDeGreat,2020-06-04 23:19:00,m
78,33,fabuloz1,2020-06-04 23:20:00,m
79,33,Phccareers,2020-06-04 23:21:00,?
80,33,seunmsg,2020-06-04 23:21:00,m
81,33,NoIgboSoundTueh,2020-06-04 23:22:00,?
82,33,FortuneDeGreat,2020-06-04 23:24:00,m
83,33,Talkcentral,2020-06-04 23:25:00,?
84,33,kingawothefirst,2020-06-04 23:25:00,?
85,33,Sammy07,2020-06-04 23:26:00,?
86,33,athaboi,2020-06-04 23:26:00,m
87,33,olaayodele,2020-06-04 23:27:00,m
88,33,PrecisionFx,2020-06-04 23:27:00,m
89,33,Sterope,2020-06-04 23:28:00,f
90,33,Susu888,2020-06-04 23:29:00,m
91,33,BREYZ,2020-06-04 23:30:00,m
92,33,PrecisionFx,2020-06-04 23:31:00,m
93,33,PrecisionFx,2020-06-04 23:32:00,m
94,33,Noel19,2020-06-04 23:32:00,?
95,33,PrecisionFx,2020-06-04 23:33:00,m
96,33,PrecisionFx,2020-06-04 23:34:00,m
97,33,Okwyjesus,2020-06-04 23:35:00,m
98,33,PrecisionFx,2020-06-04 23:35:00,m
99,33,barcaboi,2020-06-04 23:36:00,m
100,33,PrecisionFx,2020-06-04 23:36:00,m
101,33,Ochogbe,2020-06-04 23:37:00,m
102,33,Warmaterial,2020-06-04 23:37:00,m
103,33,Goke7,2020-06-04 23:38:00,?
104,33,PrecisionFx,2020-06-04 23:38:00,m
105,33,eagleeye2,2020-06-04 23:38:00,?
106,33,barcaboi,2020-06-04 23:38:00,m
