,0,1,2,3
0,249,mustyguy,2020-06-01 11:43:00,m
1,249,mustyguy,2020-06-01 11:48:00,m
2,249,frankosivue,2020-06-01 11:52:00,m
3,249,mustyguy,2020-06-01 11:53:00,m
4,249,mustyguy,2020-06-01 11:55:00,m
5,249,yanabasee1,2020-06-01 12:01:00,m
6,249,bigiyaro,2020-06-01 12:02:00,m
7,249,mustyguy,2020-06-01 12:03:00,m
8,249,extol1,2020-06-01 12:06:00,m
9,249,Xcellente10,2020-06-01 12:11:00,?
10,249,flyingpig,2020-06-01 12:12:00,?
11,249,Ladiesdoctor,2020-06-01 12:23:00,m
12,249,flemsy15,2020-06-01 12:33:00,m
13,249,Orezy5,2020-06-01 12:34:00,m
14,249,Kingcredo,2020-06-01 12:36:00,m
15,249,Ladiesdoctor,2020-06-01 13:04:00,m
16,249,DontBullshitMe,2020-06-01 13:14:00,?
17,249,opalu,2020-06-01 14:19:00,?
18,249,tot,2020-06-01 14:21:00,f
19,249,Openbusiness,2020-06-01 14:21:00,?
20,249,OKTolu,2020-06-01 14:22:00,m
21,249,SegFault,2020-06-01 14:22:00,?
22,249,RenaissanceGuy,2020-06-01 14:22:00,?
23,249,mannobi,2020-06-01 14:22:00,m
24,249,explosiveskull,2020-06-01 14:23:00,m
25,249,Onlinefarmstore,2020-06-01 14:23:00,?
26,249,Kekereekun123,2020-06-01 14:23:00,?
27,249,NaijaFutbol,2020-06-01 14:24:00,?
28,249,Raptureminded,2020-06-01 14:24:00,m
29,249,ThatFairGuy,2020-06-01 14:24:00,m
30,249,kaytolee,2020-06-01 14:24:00,m
31,249,Hypocrit,2020-06-01 14:24:00,?
32,249,faridpac2,2020-06-01 14:24:00,m
33,249,Sss2,2020-06-01 14:25:00,?
34,249,doeeyed,2020-06-01 14:26:00,?
35,249,gambia,2020-06-01 14:26:00,m
36,249,dahgifted,2020-06-01 14:26:00,m
37,249,ItzRichii,2020-06-01 14:27:00,m
38,249,Deicide,2020-06-01 14:27:00,?
39,249,sarmuel97,2020-06-01 14:27:00,m
40,249,Xcrapeekoko,2020-06-01 14:28:00,m
41,249,ODJ124,2020-06-01 14:28:00,m
42,249,timibare,2020-06-01 14:28:00,?
43,249,zicoraads,2020-06-01 14:28:00,?
44,249,Reckonsoft,2020-06-01 14:29:00,?
45,249,Wyzkyd,2020-06-01 14:30:00,m
46,249,U09ce,2020-06-01 14:30:00,?
47,249,explosiveskull,2020-06-01 14:31:00,m
48,249,Hypocrit,2020-06-01 14:31:00,?
49,249,Olarewaju89,2020-06-01 14:32:00,?
50,249,Bestvicky16,2020-06-01 14:32:00,?
51,249,ThatFairGuy,2020-06-01 14:34:00,m
52,249,Naijaepic,2020-06-01 14:34:00,?
53,249,salbis,2020-06-01 14:36:00,m
54,249,paix,2020-06-01 14:36:00,m
55,249,BabangidaHamza,2020-06-01 14:38:00,m
56,249,Tolase1999,2020-06-01 14:38:00,m
57,249,Osgee,2020-06-01 14:39:00,m
58,249,ugwuishi,2020-06-01 14:41:00,m
59,249,AnanseK,2020-06-01 14:42:00,m
60,249,FORNALS,2020-06-01 14:42:00,m
61,249,ugwuishi,2020-06-01 14:44:00,m
62,249,Ebirra,2020-06-01 14:48:00,?
63,249,DenreleDave,2020-06-01 14:48:00,f
64,249,donMIG,2020-06-01 14:48:00,m
65,249,SWORD419,2020-06-01 14:50:00,m
66,249,sirp9898,2020-06-01 14:51:00,m
67,249,ThreeBlackBird,2020-06-01 14:52:00,?
68,249,DenreleDave,2020-06-01 14:56:00,f
69,249,Kanran,2020-06-01 15:01:00,m
70,249,Ndywin,2020-06-01 15:01:00,?
71,249,ArticleBeast,2020-06-01 15:02:00,?
72,249,DenreleDave,2020-06-01 15:03:00,f
73,249,SeeAfrica,2020-06-01 15:05:00,m
74,249,dahgifted,2020-06-01 15:05:00,m
75,249,DenreleDave,2020-06-01 15:06:00,f
76,249,DenreleDave,2020-06-01 15:08:00,f
