,0,1,2,3
0,1409,danoghene,2020-05-13 18:02:00,?
1,1409,SadiqBabaSani,2020-05-13 18:12:00,?
2,1409,GodPunishBiafra,2020-05-13 18:12:00,?
3,1409,Melezenawii,2020-05-13 18:14:00,?
4,1409,Justiceleague1,2020-05-13 18:31:00,f
5,1409,chiiraq802,2020-05-13 18:40:00,m
6,1409,clevvermind,2020-05-13 18:48:00,m
7,1409,JOHNSONSOLAFUNMI,2020-05-13 19:14:00,m
8,1409,powerhouse3,2020-05-13 19:38:00,m
9,1409,NwaNimo1,2020-05-13 19:41:00,m
10,1409,weblord1900,2020-05-13 20:00:00,?
11,1409,oluseyiforjesus,2020-05-13 20:00:00,m
12,1409,MelesZenawi,2020-05-13 20:00:00,?
13,1409,psychologist,2020-05-13 20:00:00,m
14,1409,ignis,2020-05-13 20:00:00,f
15,1409,Gkay1,2020-05-13 20:00:00,m
16,1409,bigstan11787,2020-05-13 20:00:00,m
17,1409,Coursetrouble,2020-05-13 20:00:00,?
18,1409,obataokenwa,2020-05-13 20:00:00,m
19,1409,Ask4bigneyo,2020-05-13 20:01:00,m
20,1409,bolaayenimo,2020-05-13 20:01:00,?
21,1409,Americanboy35,2020-05-13 20:01:00,?
22,1409,czaratwork,2020-05-13 20:01:00,?
23,1409,uniqueuser,2020-05-13 20:01:00,m
24,1409,jaxxy,2020-05-13 20:01:00,m
25,1409,Caleb17,2020-05-13 20:02:00,?
26,1409,iretemide,2020-05-13 20:02:00,f
27,1409,hope4nigeria,2020-05-13 20:02:00,m
28,1409,agbolahan1991,2020-05-13 20:02:00,m
29,1409,okomile,2020-05-13 20:02:00,f
30,1409,Parkleader,2020-05-13 20:03:00,?
31,1409,UltimateSpice,2020-05-13 20:03:00,?
32,1409,Thenorth,2020-05-13 20:03:00,m
33,1409,Tremple8v,2020-05-13 20:04:00,?
34,1409,jericco1,2020-05-13 20:04:00,m
35,1409,honestivo,2020-05-13 20:04:00,m
36,1409,ridonebabat,2020-05-13 20:05:00,m
37,1409,Eraddray,2020-05-13 20:05:00,m
38,1409,fuck419,2020-05-13 20:05:00,?
39,1409,smatme,2020-05-13 20:06:00,m
40,1409,lolybaby,2020-05-13 20:06:00,f
41,1409,dazzlingd,2020-05-13 20:07:00,?
42,1409,Xbee007,2020-05-13 20:08:00,m
43,1409,Chekwume16,2020-05-13 20:08:00,m
44,1409,fk001,2020-05-13 20:08:00,m
45,1409,Lastmankc,2020-05-13 20:08:00,m
46,1409,ThreeBlackBird,2020-05-13 20:09:00,?
47,1409,Exc2000,2020-05-13 20:09:00,?
48,1409,Diamondplus1805,2020-05-13 20:09:00,m
49,1409,sacajawea,2020-05-13 20:09:00,?
50,1409,RaptorX,2020-05-13 20:09:00,?
51,1409,Onlyonebuhari,2020-05-13 20:10:00,?
52,1409,StubbornGENIUS,2020-05-13 20:10:00,?
53,1409,Braindealer,2020-05-13 20:10:00,m
54,1409,uruba23,2020-05-13 20:10:00,?
55,1409,Ihategirls,2020-05-13 20:10:00,f
56,1409,sundayoluwatimi,2020-05-13 20:11:00,m
57,1409,raphy,2020-05-13 20:11:00,m
58,1409,Miracle1991,2020-05-13 20:11:00,?
59,1409,BeerParlour,2020-05-13 20:12:00,?
60,1409,iso604,2020-05-13 20:12:00,?
61,1409,olazy6,2020-05-13 20:12:00,m
62,1409,SocialJustice,2020-05-13 20:13:00,?
63,1409,Princeton92,2020-05-13 20:13:00,m
64,1409,StTrump,2020-05-13 20:13:00,?
65,1409,RaptorX,2020-05-13 20:14:00,?
66,1409,Braindealer,2020-05-13 20:15:00,m
67,1409,NiklauseFred,2020-05-13 20:15:00,m
68,1409,istina,2020-05-13 20:15:00,?
69,1409,OKTolu,2020-05-13 20:15:00,m
70,1409,MrPRevailer,2020-05-13 20:15:00,m
71,1409,ugolinze123,2020-05-13 20:16:00,m
72,1409,OpinionCounts,2020-05-13 20:16:00,m
73,1409,farem,2020-05-13 20:16:00,?
74,1409,Princeton92,2020-05-13 20:16:00,m
75,1409,Dchameleon12345,2020-05-13 20:16:00,m
76,1409,sacajawea,2020-05-13 20:16:00,?
77,1409,maryalloy,2020-05-13 20:17:00,f
78,1409,SaintLucia,2020-05-13 20:17:00,?
79,1409,fykes,2020-05-13 20:18:00,m
80,1409,Braindealer,2020-05-13 20:19:00,m
81,1409,ArcSEMPECJ,2020-05-13 20:19:00,m
82,1409,MansoryMX,2020-05-13 20:20:00,m
83,1409,wamide042,2020-05-13 20:20:00,m
84,1409,waynejesus,2020-05-13 20:21:00,?
85,1409,WaffenSS,2020-05-13 20:22:00,m
86,1409,bluefilm,2020-05-13 20:23:00,?
87,1409,omojesu202,2020-05-13 20:24:00,m
88,1409,LegalOpinion,2020-05-13 20:24:00,?
89,1409,miqos02,2020-05-13 20:24:00,m
90,1409,Rem22,2020-05-13 20:25:00,m
91,1409,kemii3915,2020-05-13 20:26:00,?
92,1409,ThePatriotic,2020-05-13 20:26:00,?
93,1409,Kuginzi,2020-05-13 20:26:00,?
94,1409,Omarephkay,2020-05-13 20:27:00,?
95,1409,michoim,2020-05-13 20:27:00,m
96,1409,Vmotors,2020-05-13 20:28:00,?
97,1409,Tajbol4splend,2020-05-13 20:30:00,m
98,1409,ofiko123,2020-05-13 20:30:00,m
99,1409,toprealman,2020-05-13 20:30:00,?
100,1409,Tajbol4splend,2020-05-13 20:30:00,m
101,1409,Tajbol4splend,2020-05-13 20:32:00,m
102,1409,Drizzy5001,2020-05-13 20:32:00,m
103,1409,goldmatrix,2020-05-13 20:33:00,m
104,1409,Tajbol4splend,2020-05-13 20:33:00,m
105,1409,Miniso,2020-05-13 20:33:00,?
106,1409,brainhgeek,2020-05-13 20:34:00,m
107,1409,Tajbol4splend,2020-05-13 20:34:00,m
108,1409,mechanics,2020-05-13 20:35:00,m
109,1409,nurusystem,2020-05-13 20:35:00,m
110,1409,Nostradamus,2020-05-13 20:37:00,?
111,1409,donproject,2020-05-13 20:37:00,m
112,1409,Temiel,2020-05-13 20:38:00,m
113,1409,Sirebashow,2020-05-13 20:40:00,m
114,1409,kemii2051,2020-05-13 20:40:00,?
115,1409,DaddyGngeess,2020-05-13 20:41:00,m
116,1409,deebrain,2020-05-13 20:42:00,m
117,1409,gotnel,2020-05-13 20:42:00,?
118,1409,SweetCunt97,2020-05-13 20:43:00,f
119,1409,Yungmil,2020-05-13 20:45:00,?
120,1409,sheyoroniyen,2020-05-13 20:47:00,m
121,1409,Karlifate,2020-05-13 20:48:00,?
122,1409,02Kebreal,2020-05-13 20:48:00,m
123,1409,AsawanaDgreat,2020-05-13 20:48:00,?
124,1409,Truthbites,2020-05-13 20:48:00,?
125,1409,Gallant419,2020-05-13 20:50:00,?
126,1409,dagbas,2020-05-13 20:51:00,?
127,1409,XullySwt,2020-05-13 20:52:00,f
128,1409,fkj950ax,2020-05-13 20:54:00,m
129,1409,dycee01,2020-05-13 20:56:00,m
130,1409,infogeneral,2020-05-13 20:57:00,?
131,1409,Dollabiz,2020-05-13 20:59:00,?
132,1409,JOHNSONSOLAFUNMI,2020-05-13 21:00:00,m
133,1409,Hybkay,2020-05-13 21:00:00,?
