,0,1,2,3
0,583,dre11,2020-05-27 11:45:00,m
1,583,SenorFax,2020-05-27 11:46:00,m
2,583,Xristars,2020-05-27 11:49:00,m
3,583,VickyRotex,2020-05-27 11:52:00,f
4,583,shagasha,2020-05-27 11:53:00,?
5,583,tayebest,2020-05-27 11:54:00,m
6,583,nanauju,2020-05-27 11:57:00,f
7,583,HeadNigga,2020-05-27 11:57:00,?
8,583,Joefat,2020-05-27 11:57:00,m
9,583,money121,2020-05-27 11:57:00,m
10,583,illicit,2020-05-27 11:57:00,m
11,583,kemii651,2020-05-27 11:57:00,?
12,583,phransix2,2020-05-27 11:57:00,?
13,583,Bagu1,2020-05-27 11:58:00,m
14,583,Davida33,2020-05-27 11:58:00,?
15,583,Nonsoboy4life,2020-05-27 11:58:00,m
16,583,Juanmike,2020-05-27 11:58:00,?
17,583,GamalNasser,2020-05-27 11:58:00,?
18,583,Fcwilly,2020-05-27 11:58:00,?
19,583,SoftDealz,2020-05-27 11:59:00,?
20,583,gambia,2020-05-27 11:59:00,m
21,583,dayleke,2020-05-27 11:59:00,?
22,583,sketcherJ,2020-05-27 11:59:00,m
23,583,KingMicky3286,2020-05-27 11:59:00,?
24,583,mikeybrainy,2020-05-27 12:00:00,?
25,583,paulolee,2020-05-27 12:00:00,m
26,583,ODJ123,2020-05-27 12:00:00,m
27,583,Exc2000,2020-05-27 12:00:00,?
28,583,Mindlog,2020-05-27 12:01:00,?
29,583,mamaafrik,2020-05-27 12:01:00,m
30,583,Naijaarchive,2020-05-27 12:02:00,m
31,583,Chommybaby,2020-05-27 12:03:00,f
32,583,Amdoyin,2020-05-27 12:04:00,m
33,583,Susu888,2020-05-27 12:04:00,m
34,583,wendixx,2020-05-27 12:04:00,f
35,583,PigTormentor,2020-05-27 12:04:00,?
36,583,Fuckingmallam45,2020-05-27 12:04:00,m
37,583,Karlifate,2020-05-27 12:06:00,?
38,583,Kekereekun123,2020-05-27 12:07:00,?
39,583,IYANGBALI,2020-05-27 12:07:00,?
40,583,Armaggedon,2020-05-27 12:08:00,?
41,583,IYANGBALI,2020-05-27 12:08:00,?
42,583,backtalkG,2020-05-27 12:09:00,m
43,583,Blackmoran,2020-05-27 12:09:00,m
44,583,OdefaGirl,2020-05-27 12:10:00,f
45,583,Nuel4,2020-05-27 12:10:00,m
46,583,backtalkG,2020-05-27 12:10:00,m
47,583,etibaba,2020-05-27 12:14:00,m
48,583,COURVOISier,2020-05-27 12:14:00,m
49,583,toyetade,2020-05-27 12:16:00,?
50,583,Angelfrost,2020-05-27 12:18:00,m
51,583,bluefilm,2020-05-27 12:20:00,?
52,583,Organicist95,2020-05-27 12:21:00,f
53,583,OmoOduduwa01,2020-05-27 12:22:00,?
54,583,Ofemmanu1,2020-05-27 12:26:00,?
55,583,Queenyprinxex,2020-05-27 12:26:00,f
56,583,derich2020,2020-05-27 12:26:00,m
57,583,atiku4President,2020-05-27 12:27:00,?
58,583,Verasgist,2020-05-27 12:27:00,?
59,583,atiku4President,2020-05-27 12:28:00,?
60,583,xareal,2020-05-27 12:29:00,m
61,583,sule17,2020-05-27 12:31:00,m
62,583,Jakemedg,2020-05-27 12:36:00,m
63,583,9jaDoomCountry,2020-05-27 12:40:00,?
64,583,Jakemedg,2020-05-27 12:41:00,m
65,583,KingMicky3286,2020-05-27 12:42:00,?
66,583,Chommybaby,2020-05-27 12:47:00,f
67,583,Nigeriaaa1960,2020-05-27 12:48:00,f
68,583,9jaDoomCountry,2020-05-27 12:50:00,?
69,583,Bigwin2018,2020-05-27 12:52:00,?
70,583,Daniel058,2020-05-27 12:55:00,m
71,583,kunkelhanspeter,2020-05-27 12:58:00,m
72,583,armadeo,2020-05-27 13:04:00,m
73,583,Femeto,2020-05-27 13:07:00,?
74,583,Tbasicme,2020-05-27 13:13:00,?
75,583,canDy4eva,2020-05-27 13:28:00,f
76,583,Nmezor,2020-05-27 13:35:00,f
77,583,Ten06,2020-05-27 13:59:00,m
78,583,ugbanante,2020-05-27 14:14:00,?
79,583,Yankee101,2020-05-27 14:18:00,?
80,583,Proudlytips,2020-05-27 14:25:00,?
81,583,?,2020-05-27 14:30:00,?
82,583,northvietnam,2020-05-27 14:49:00,m
83,583,Btruth,2020-05-27 14:51:00,?
84,583,Kuffyeffy,2020-05-27 15:00:00,?
85,583,bigiyaro,2020-05-27 15:01:00,m
86,583,KingMicky3286,2020-05-27 15:12:00,?
87,583,Wolgrace,2020-05-27 15:28:00,m
88,583,izubext007,2020-05-27 16:00:00,?
89,583,BENEAMATA,2020-05-27 16:15:00,?
90,583,joe4christ,2020-05-27 16:34:00,m
91,583,Headachetoigboh,2020-05-27 16:56:00,f
92,583,olax02,2020-05-27 17:02:00,m
93,583,VickyRotex,2020-05-27 17:06:00,f
94,583,ogenwaokoye,2020-05-27 17:14:00,m
95,583,Mentorme,2020-05-27 17:33:00,?
96,583,Bigwin2018,2020-05-27 18:29:00,?
97,583,MajorOvakporaye,2020-05-27 18:53:00,f
98,583,NaMeAboki,2020-05-27 19:52:00,?
99,583,mechanics,2020-05-27 20:08:00,m
100,583,EdmundDantes,2020-05-28 07:04:00,m
101,583,YaksonFCA,2020-05-28 10:12:00,m
102,583,captainmarv,2020-05-28 10:19:00,m
103,583,captainmarv,2020-05-28 10:21:00,m
